paper,fm_a,fm_l,ae,le,afam,afef,amem,lflm,lfef,lmem,afem,lfem
unintelligent,0.6955828061094939,0.4127424997410685,1.3369977634097863,0.5061282657895798,1.0967974023699059,1.4435331572979908,1.4667819533599094,0.252866848398964,0.3723056138016035,0.6775356525403589,1.6279950350297714,0.872009692071967
fixer-upper,0.3343455228184177,0.47879823143828637,1.245101758487171,0.6759005922566412,0.09283174426052201,1.027522078050991,1.4657106341592745,0.18329060619810103,0.37712715860957235,1.0189039584040065,1.3936321851843376,1.0355065405597277
ditsy,1.2862902081818306,1.3352844755797253,0.7244908251463521,-0.3856052256628782,1.4423786682184971,1.2599606959863292,0.7365107282989758,1.412816761513035,-0.21273446733296308,-0.7703239687382681,1.5918877495634607,0.9865834328822174
high-status,0.7729261889547222,0.6601470557660297,1.3815511455361449,0.8610056354604413,1.1633533907836229,1.5830299052861154,1.3882319240437604,0.5832306243300871,0.9124162996211781,0.9002943590737007,1.6519692539240798,1.2550558345345124
unfeminine,0.8878618605031254,0.8378314618522107,1.3485731272359929,0.7518914578687755,1.2854056353000927,1.5776662601151876,1.4169359649273363,0.8067319132763529,0.868549881407252,0.7737007779729064,1.6853533855206109,1.280186468689171
red-neck,0.39988519320486565,0.21669457471511971,1.5246282981277097,0.6802451793658071,0.7534723494237396,1.560964111755868,1.5571750089774152,0.15355828381824432,0.6357595988852635,0.7237233345380228,1.6180349937962657,0.8404921789011117
hypersexual,0.41831962822502294,0.35217851827717983,1.644892223003732,1.1954856601452337,1.017673257919446,1.7568704269103668,1.584791444587156,0.525444503520145,1.2810960397725906,1.1229110943767624,1.739413018120092,1.3098854980763412
hardworker,0.2868707201184024,0.2656969560236749,1.6900740769366904,1.1849343397181156,0.44776880758880105,1.700595382268648,1.6864101735391912,0.21917300079011884,1.1465519215749789,1.2253054516903894,1.741625078505846,1.3001804173743174
bigbutt,0.5348265941791249,0.7639343265711462,1.5110362017480155,1.1182998363676746,0.7123487899068083,1.6767193782500902,1.458809919853604,0.9110456790134236,1.3325628695466032,1.0661883865703976,1.7617143259124897,1.5569489652269324
blue-eyes,0.5980363846834863,0.5876574428810705,1.504885038293761,0.7371535583423401,1.0195607746306028,1.6284418708747803,1.4987463518506554,0.5642594607058093,0.796013780086705,0.7332408661666286,1.692148437772978,1.1238237367660562
illegal-immigrant,0.1602520031431993,0.06335158828267812,1.6458373364984302,1.444622417625734,-0.0037598762607474884,1.5846255675478957,1.6900180210046143,-0.17287787922443995,1.2665337196030593,1.588780739521906,1.665484308284852,1.4039467890006523
fried-chicken,0.12231190532342379,-0.1440793177788964,1.6602651866791416,1.1552457321194263,0.41784588654462557,1.6598504812070647,1.6524172046459522,-0.2334914460407617,1.1347548942916406,1.1649254657059793,1.6085007376603917,1.0166796891374756
darkskinned,0.6477892751193431,0.5694439088234851,1.595400132742538,1.1017964766843034,1.2147584455823708,1.743056132480336,1.6076925620731333,0.5658444179042793,1.1390031339538305,1.142089203709609,1.768552964503832,1.3708885342780734
day-laborer,0.17967778659243003,-0.12070761246685109,1.5215266850867488,1.269812696298129,0.42011844077311183,1.5465043133460985,1.4922430723817641,-0.23803114980179615,1.181981519063343,1.336692960010023,1.5204308076349118,1.1552781951693896
